DATE	Population	PopOver16	LaborForce	Unemployed	CPI	CPIexFE	PCE	PCEexFE	GS1	GS5	GS10
1983-07-01	234404	174306	113980	10707	99.800	99.800	49.627	49.973	10.20	11.21	11.38
1983-08-01	234601	174440	113578	10411	100.100	100.100	49.840	50.231	10.53	11.63	11.85
1983-09-01	234804	174602	112197	9830	100.400	100.500	50.014	50.434	10.16	11.43	11.65
1983-10-01	234993	174779	112042	9383	100.800	101.000	50.099	50.523	9.81	11.28	11.54
1983-11-01	235157	174951	112147	9129	101.100	101.500	50.170	50.641	9.94	11.41	11.69
1983-12-01	235310	175121	111795	8992	101.400	101.800	50.198	50.679	10.11	11.54	11.83
1984-01-01	235456	175533	111025	9755	102.100	102.500	50.416	50.848	9.90	11.37	11.67
1984-02-01	235601	175679	111368	9407	102.600	102.800	50.755	51.168	10.04	11.54	11.84
1984-03-01	235757	175824	111828	9057	102.900	103.200	50.922	51.362	10.59	12.02	12.32
1984-04-01	235916	175969	112152	8525	103.300	103.700	51.115	51.604	10.90	12.37	12.63
1984-05-01	236077	176123	113251	8154	103.500	104.100	51.180	51.724	11.66	13.17	13.41
1984-06-01	236254	176284	115393	8582	103.700	104.500	51.271	51.845	12.08	13.48	13.56
1984-07-01	236449	176440	116198	8714	104.100	105.000	51.455	52.069	12.03	13.27	13.36
1984-08-01	236655	176583	115076	8382	104.400	105.400	51.613	52.241	11.82	12.68	12.72
1984-09-01	236868	176763	113843	8051	104.700	105.800	51.683	52.321	11.58	12.53	12.52
1984-10-01	237068	176956	114250	7989	105.100	106.200	51.805	52.438	10.90	12.06	12.16
1984-11-01	237238	177135	114115	7869	105.300	106.400	51.877	52.549	9.82	11.33	11.57
1984-12-01	237392	177306	114028	7978	105.500	106.800	52.023	52.757	9.33	11.07	11.50
1985-01-01	237535	177384	113475	9131	105.700	107.100	52.283	53.053	9.02	10.93	11.38
1985-02-01	237667	177516	113592	8902	106.300	107.700	52.527	53.328	9.29	11.13	11.51
1985-03-01	237816	177667	114394	8625	106.800	108.100	52.732	53.515	9.86	11.52	11.86
1985-04-01	237987	177799	114325	8150	107.000	108.400	52.808	53.579	9.14	11.01	11.43
1985-05-01	238172	177944	114890	8011	107.200	108.800	52.934	53.764	8.46	10.34	10.85
1985-06-01	238368	178096	116572	8753	107.500	109.100	53.078	53.941	7.80	9.60	10.16
1985-07-01	238573	178263	117536	8682	107.700	109.400	53.208	54.099	7.86	9.70	10.31
1985-08-01	238789	178405	116679	8051	107.900	109.800	53.384	54.364	8.05	9.81	10.33
1985-09-01	239006	178572	115850	7984	108.100	110.000	53.474	54.477	8.07	9.81	10.37
1985-10-01	239210	178770	116346	7917	108.500	110.500	53.563	54.564	8.01	9.69	10.24
1985-11-01	239392	178940	116097	7815	109.000	111.100	53.719	54.698	7.88	9.28	9.78
