"DATE"	"A191RL1Q225SBEA"	"A191RO1Q156NBEA"	"B230RC0Q173SBEA"	"CAPUTLB50001SQ"	"GDPPOT"	"ND000334Q"
2026-04-01					21681.52	
2026-07-01					21779.48	
2026-10-01					21877.36	
2027-01-01					21975.23	
2027-04-01					22072.85	
2027-07-01					22170.42	
2027-10-01					22268.1	
2028-01-01					22365.98	
2028-04-01					22464.41	
2028-07-01					22563.27	
2028-10-01					22662.71	
2029-01-01					22762.78	
2029-04-01					22863.51	
2029-07-01					22964.27	
2029-10-01					23065.07	
2030-01-01					23165.98	
2030-04-01					23267.08	
2030-07-01					23368.31	
2030-10-01					23469.66	
2031-01-01					23571.2	
2031-04-01					23672.91	
2031-07-01					23774.75	
2031-10-01					23876.74	
2032-01-01					23978.93	
2032-04-01					24081.32	
2032-07-01					24183.71	
2032-10-01					24286.07	
