"DATE"	"CEU0500000002"	"CEU0500000003"	"CNP16OV"	"CPIAUCSL"	"CPILFESL"	"GS1"	"GS10"	"GS5"	"LFWA64TTUSM647S"	"LNU01000000"	"LNU03000000"	"LNU05000000"	"PCEPI"	"PCEPILFE"	"PCETRIM1M158SFRBDAL"	"POPTHM"	"STLPPM"
1964-05-01			124204	30.98	32.2	3.84	4.2	4.05		73480	3528		16.271	16.794		191557	
1964-06-01			124386	31.01	32.3	3.83	4.17	4.02		74901	4453		16.294	16.806		191778	
1964-07-01			124567	31.02	32.3	3.72	4.19	4.03		74514	3675		16.315	16.823		192010	
1964-08-01			124731	31.05	32.3	3.74	4.19	4.05		74227	3551		16.327	16.845		192254	
1964-09-01			124920	31.08	32.3	3.84	4.2	4.08		73111	3262		16.352	16.852		192504	
1964-10-01			125108	31.12	32.4	3.86	4.19	4.07		73345	3198		16.362	16.859		192739	
1964-11-01			125291	31.21	32.5	3.91	4.15	4.04		73210	3318		16.385	16.883		192943	
1964-12-01			125468	31.25	32.5	4.02	4.18	4.09		72952	3409		16.409	16.907		193131	
1965-01-01			125647	31.28	32.6	3.94	4.19	4.1		72177	3942		16.427	16.93		193308	
1965-02-01			125810	31.28	32.6	4.03	4.21	4.15		72862	4172		16.434	16.95		193467	
1965-03-01			125985	31.31	32.6	4.06	4.21	4.15		73084	3699		16.455	16.96		193625	
1965-04-01			126155	31.38	32.7	4.04	4.2	4.15		73712	3492		16.481	16.98		193799	
1965-05-01			126320	31.48	32.7	4.03	4.21	4.15		74512	3214		16.518	17.011		193988	
1965-06-01			126499	31.61	32.7	3.99	4.21	4.15		76335	4057		16.566	17.007		194195	
1965-07-01			126573	31.58	32.7	3.98	4.2	4.15		76522	3429		16.578	17.024		194416	
1965-08-01			126756	31.55	32.7	4.07	4.25	4.2		75860	3165		16.582	17.056		194645	
1965-09-01			126906	31.62	32.8	4.2	4.29	4.25		74250	2842		16.59	17.076		194879	
1965-10-01			127043	31.65	32.8	4.3	4.35	4.34		74821	2709		16.595	17.07		195096	
1965-11-01			127171	31.75	32.9	4.37	4.45	4.46		74712	2888		16.623	17.102		195284	
1965-12-01			127294	31.85	33	4.72	4.62	4.72		74605	2786		16.683	17.154		195456	
1966-01-01			127394	31.88	33	4.88	4.61	4.86		73612	3244		16.703	17.159		195614	
1966-02-01			127514	32.08	33.1	4.94	4.83	4.98		73800	3109		16.772	17.201		195760	
1966-03-01			127626	32.18	33.1	4.97	4.87	4.92		74080	2990		16.813	17.223		195915	
1966-04-01			127744	32.28	33.3	4.9	4.75	4.83		74796	2730		16.871	17.285		196089	
1966-05-01			127879	32.35	33.4	4.93	4.78	4.89		75412	2793		16.892	17.331		196275	
1966-06-01			127983	32.38	33.5	4.97	4.81	4.97		77629	3592		16.934	17.387		196466	
1966-07-01			128102	32.45	33.6	5.17	5.02	5.17		77705	3050		16.967	17.438		196661	
1966-08-01			128240	32.65	33.7	5.54	5.22	5.5		77486	2821		17.032	17.47		196873	
1966-09-01			128359	32.75	33.8	5.82	5.18	5.5		75751	2503		17.086	17.524		197096	
1966-10-01			128494	32.85	34	5.58	5.01	5.27		76209	2465		17.131	17.581		197303	
1966-11-01			128627	32.88	34	5.54	5.16	5.36		76574	2579		17.156	17.625		197485	
1966-12-01			128730	32.92	34.1	5.2	4.84	5		76255	2655		17.192	17.679		197654	
